Store Name,Address,Road Address,Longitude,Latitude,Link,Category
빈티지제트,서울특별시 성동구 성수동2가 301-46 지하1층,서울특별시 성동구 성수일로 42 지하1층,1270497938,375442120,https://www.instagram.com/vintagezet,"남성, 여성, 빈티지"
비얼디드키드,서울특별시 성동구 성수동1가 16-4 606호,서울특별시 성동구 성수일로 55 606호,1270495686,375454865,http://www.beardedkid.kr/,"남성, 캐주얼"
OHOTORO,서울특별시 성동구 성수동1가 22-12 1층,서울특별시 성동구 성수일로 39-41 1층,1270485956,375441912,https://m.ohotoro.com/ohotoro/pages/about-us.html,"여성, 미니멀, 캐주얼"
스튜디오맵씨,서울특별시 성동구 성수동1가 22-5 경동빌딩 101호 스튜디오맵씨,서울특별시 성동구 성수일로 39 경동빌딩 101호 스튜디오맵씨,1270493472,375441360,http://instagram.com/studio_mmap.c,"여성, 미니멀"
코어브릿지,서울특별시 성동구 성수동2가 284-49,서울특별시 성동구 성수일로 84,1270512823,375479870,http://www.core-bridge.co.kr,"여성, 스포츠"
밀리언아카이브,서울특별시 성동구 성수동2가 289-293 밀리언아카이브,서울특별시 성동구 아차산로5길 24-18 밀리언아카이브,1270533301,375473017,http://millionarchive.com,"남성, 여성, 빈티지"
빈티지애플스 성수,서울특별시 성동구 성수동2가 302-36 지하1층,서울특별시 성동구 연무장길 17 지하1층,1270514670,375437393,https://blog.naver.com/park_ricky,"남성, 여성, 빈티지"
파라마운트피커스,"서울특별시 성동구 성수동2가 273-13 에스팩토리 B동 117, 118호","서울특별시 성동구 연무장15길 11 에스팩토리 B동 117, 118호",1270597624,375426939,,"남성, 여성, 빈티지"
마켓인유,서울특별시 성동구 성수동2가 276-4 1층,서울특별시 성동구 아차산로 166 1층,1270618848,375425726,http://www.marketinu.com,"남성, 여성, 빈티지"
해칭룸 성수,서울특별시 성동구 성수동2가 314-37 1층,서울특별시 성동구 성수일로6길 33 1층,1270538076,375447806,https://linktr.ee/hatchingroom,"남성, 스트릿, 캐주얼, 고프코어"
